age,overall,cluster
32,94,-1
34,93,-1
27,92,-1
26,91,-1
28,91,-1
28,91,-1
27,90,-1
27,90,-1
33,90,-1
27,90,-1
20,89,-1
28,89,-1
25,89,-1
26,89,-1
28,89,-1
28,89,-1
34,89,-1
31,89,-1
33,89,-1
32,89,-1
30,89,-1
30,89,-1
28,89,-1
25,88,-1
26,88,-1
25,88,-1
24,88,-1
27,88,-1
27,88,-1
32,88,-1
34,88,-1
33,88,-1
32,88,-1
33,88,-1
32,88,-1
33,88,-1
29,88,-1
30,88,-1
30,88,-1
27,88,-1
25,87,-1
24,87,-1
27,87,-1
26,87,-1
34,87,-1
34,87,-1
31,87,-1
32,87,-1
32,87,-1
30,87,-1
30,87,-1
30,87,-1
28,87,-1
32,87,-1
28,87,-1
23,86,-1
25,86,-1
24,86,-1
26,86,-1
25,86,-1
29,86,-1
24,86,-1
27,86,-1
27,86,-1
31,86,-1
29,86,-1
31,86,-1
32,86,-1
27,86,-1
30,86,-1
29,86,-1
29,86,-1
28,86,-1
19,85,-1
20,85,-1
22,85,-1
26,85,-1
23,85,-1
24,85,-1
23,85,-1
24,85,-1
25,85,-1
25,85,-1
24,85,-1
24,85,-1
24,85,-1
28,85,-1
29,85,-1
28,85,-1
26,85,-1
28,85,-1
29,85,-1
27,85,-1
26,85,-1
27,85,-1
26,85,-1
37,85,-1
31,85,-1
31,85,-1
32,85,-1
29,85,-1
31,85,-1
30,85,-1
28,85,-1
31,85,-1
27,85,-1
27,85,-1
28,85,-1
19,84,-1
20,84,-1
22,84,-1
24,84,-1
25,84,-1
23,84,-1
23,84,-1
22,84,-1
25,84,-1
24,84,-1
23,84,-1
23,84,-1
23,84,-1
25,84,-1
27,84,-1
26,84,-1
26,84,-1
27,84,-1
27,84,-1
26,84,-1
36,84,-1
32,84,-1
32,84,-1
32,84,-1
31,84,-1
31,84,-1
32,84,-1
30,84,-1
30,84,-1
30,84,-1
33,84,-1
28,84,-1
30,84,-1
33,84,-1
32,84,-1
30,84,-1
29,84,-1
32,84,-1
28,84,-1
30,84,-1
29,84,-1
28,84,-1
28,84,-1
29,84,-1
30,84,-1
31,84,-1
28,84,-1
29,84,-1
30,84,-1
23,83,-1
24,83,-1
23,83,-1
20,83,-1
21,83,-1
25,83,-1
23,83,-1
25,83,-1
23,83,-1
24,83,-1
